texto_original,resumen,source,doc_id,split,label,source_dataset,source_bucket,has_pair,len_src,len_pls,wc_src,wc_pls,len_ratio_pls_src,wc_ratio_pls_src,flesch_src,flesch_pls
"Study A0081106 is a 12-month open-label study to evaluate the long term safety and tolerability of pregabalin as add-on therapy in pediatric subjects 1 month to 16 years of age with partial onset seizures and pediatric and adult subjects 5 to 65 years of age with primary generalized tonic-clonic seizures. Pregabalin will be administered in equally divided daily doses for 1 year, in either capsule or liquid oral formulation.",,test,NCT01463306.txt#L4,test,,clinicaltrials,test,False,427,0,69,0,0.0,0.0,17.330543478260893,
A 12-Month Study To Evaluate The Safety And Tolerability Of Pregabalin As Add-On Therapy In Pediatric Subjects 1 Month To 16 Years Of Age With Partial Onset Seizures And Pediatric And Adult Subjects 5 To 65 Years Of Age With Primary Generalized Tonic-Clonic Seizures,,test,NCT01463306.txt#L5,test,,clinicaltrials,test,False,266,0,44,0,0.0,0.0,8.356818181818198,
"For immunogenicity assessment, hSBA was performed with 4 primary MnB test strains. Percentage of participants achieving hSBA titer >= LLOQ were computed along with corresponding 2-sided 95 % CIs. LLOQ was 1:16 for PMB80 (A22) and 1:8 for PMB2001 (A56), PMB2948 (B24) and PMB2707 (B44). Participants of Group 3c (participants from primary study B1971015) were not continued in booster stage. only participants who received bivalent rLP2086 in primary study B1971010 were not analysed for this endpoint. Only participants who received bivalent rLP2086 in primary study B1971012 on a 0-, 2-, and 6-month or a 0- and 6-month vaccination schedule were eligible to be followed for 26 months after booster vaccination",,test,NCT01543087.txt#L1,test,,clinicaltrials,test,False,710,0,110,0,0.0,0.0,43.64833333333334,
"This study is to assess the longevity of immune response in adolescents for approximately 48 months after receipt of a primary series of bivalent rLP2086 vaccination, which is then followed by a booster dose and an assessment of immune response for 12 or 26 months post booster vaccination.",,test,NCT01543087.txt#L2,test,,clinicaltrials,test,False,290,0,48,0,0.0,0.0,13.590000000000032,
Duration of hSBA Response After a Primary Series of Bivalent rLP2086 Followed by a Booster Dose,,test,NCT01543087.txt#L3,test,,clinicaltrials,test,False,95,0,16,0,0.0,0.0,42.545000000000016,
"Systemic reactions included: fever, vomiting, diarrhea, headache, fatigue, chills, muscle pain other than muscle pain at the injection site and joint pain, all other systemic reactions were recorded by using an e-diary. Fever was categorized as: 38.0 to 38.4 degree Celsius (C), 38.5 to 38.9 degree C, 39.0 to 40.0 degree C and > 40.0 degree C. Vomiting was graded as: mild (1 to 2 times in 24 hours [hrs]), moderate (>2 times in 24 hrs) and severe (requires intravenous [IV] hydration); Diarrhea was graded as: mild (2 to 3 loose stools in 24 hrs), moderate (4 to 5 loose stools in 24 hrs) and severe (6 or more loose stools in 24 hrs); Headache, fatigue, chills, muscle pain and joint pain was graded as: mild (does not interfere with daily activities), moderate (some interference with activity) and severe (prevents daily routine activity).",,test,NCT01543087.txt#L4,test,,clinicaltrials,test,False,844,0,143,0,0.0,0.0,57.776929577464784,
"An AE was any untoward medical occurrence in a participant who received investigational product without regard to possibility of causal relationship. SAE was an AE resulting in any of the following outcomes or deemed significant for any other reason: death; initial or prolonged inpatient hospitalization; life-threatening experience (immediate risk of dying); persistent or significant disability/incapacity; congenital anomaly. AEs included both non-serious AEs and serious adverse events (SAEs). An NDCMC was defined as a disease or medical condition, that was not identified previously and that was expected to be persistent or otherwise long-lasting in its effects. The investigator determined if the AE was an NDCMC. An MAE was defined as a non serious AE (AE other than SAE) that resulted in an evaluation at a medical facility.",,test,NCT01543087.txt#L5,test,,clinicaltrials,test,False,835,0,126,0,0.0,0.0,13.634285714285738,
"The grooved pegboard test was a manipulative dexterity test that assessed psychomotor speed, fine motor control, and rapid-visual motor coordination. It consisted of a small board of 25 holes with randomly positioned slots. Pegs with a key along one side must be rotated to match the hole before they can be inserted. In this outcome measure participants were asked to insert 25 grooved pegs into the holes within the given time limit (up to 300 seconds). The task needs to be completed once for each hand; firstly, using the dominant hand followed by the non-dominant hand. Time taken to complete the test was inversely correlated to the cognitive ability.",,test,NCT01557244.txt#L1,test,,clinicaltrials,test,False,657,0,109,0,0.0,0.0,52.57014525993887,
"The objective of the study is to find out if the medicine fesoterodine is a useful treatment in children with bladder muscle overactivity caused by a neurological condition. Children will be aged 6 to 17 years old. This is done by finding out how well it works, what the body does to fesoterodine, what side effects are experienced and the safety of fesoterodine. It will be compared with the medicine oxybutynin, which is already available for treating the condition.",,test,NCT01557244.txt#L2,test,,clinicaltrials,test,False,468,0,79,0,0.0,0.0,48.64444620253167,
"The grooved pegboard test was a manipulative dexterity test that assessed psychomotor speed, fine motor control, and rapid-visual motor coordination. It consisted of a small board of 25 holes with randomly positioned slots. Pegs with a key along one side must be rotated to match the hole before they can be inserted. Participants were asked to insert 10 grooved pegs into the holes within the given time limit (up to 300 seconds). In this outcome measure number of pegs dropped while putting in the holes were measured. The task needs to be completed once for each hand; firstly, using the dominant hand followed by the non-dominant hand.",,test,NCT01557244.txt#L3,test,,clinicaltrials,test,False,639,0,107,0,0.0,0.0,59.06687694704053,
